op_name,op_type,with_types
PUSH_I32_0,,
PUSH_I32_1,,
PUSH_I32_1BYTE,b,
PUSH_I32_2BYTE,u,
PUSH_I64_0,,
PUSH_I64_1,,
PUSH_F64_0,,
PUSH_F64_1,,
PUSH,p,"I32,I64,F32,F64,STRING"
PUSH_NULL,,
PUSH_LOCAL,u,"I32,I64,F32,F64,OBJECT"
POP_LOCAL,u,"I32,I64,F32,F64,OBJECT"
PUSH_STATIC,uu,"I32,I64,F32,F64,OBJECT"
POP_STATIC,uu,"I32,I64,F32,F64,OBJECT"
PUSH_ARRAY,,"I32,I64,F32,F64,OBJECT"
POP_ARRAY,,"I32,I64,F32,F64,OBJECT"
PUSH_FIELD,u,"I32,I64,F32,F64,OBJECT"
POP_FIELD,u,"I32,I64,F32,F64,OBJECT"
ADD,,"I32,I64,F32,F64"
SUB,,"I32,I64,F32,F64"
MUL,,"I32,I64,F32,F64"
DIV,,"I32,I64,F32,F64"
MOD,,"I32,I64,F32,F64"
BIT_AND,,"I32,I64"
BIT_OR,,"I32,I64"
BIT_XOR,,"I32,I64"
MINUS,,"I32,I64,F32,F64"
BIT_NOT,,"I32,I64"
CAST_I32_TO,,"I64,F32,F64"
CAST_I64_TO,,"I32,F32,F64"
CAST_F32_TO,,"I32,I64,F64"
CAST_F64_TO,,"I32,I64,F32"
UP_CAST,u,
DOWN_CAST,u,
EQ,,"I32,I64,F32,F64"
NE,,"I32,I64,F32,F64"
GT,,"I32,I64,F32,F64"
LT,,"I32,I64,F32,F64"
GE,,"I32,I64,F32,F64"
LE,,"I32,I64,F32,F64"
POP,,
DUPLICATE,,
DUPLICATE_OFFSET,u,
JUMP,u,
JUMP_IF_TRUE,u,
JUMP_IF_FALSE,u,
PUSH_FUNCTION,uu,
PUSH_METHOD,uu,
INVOKE,,
RETURN,,"I32,I64,F32,F64,OBJECT"
NEW,u,
NEW_ARRAY,bu,
NEW_ARRAY_LITERAL,u,"I32,I64,F32,F64,OBJECT"
SUPER,,
INSTANCE_OF,u,
THROW,,
RETHROW,,
GO_FINALLY,u,
FINALLY_END,,
